#id	length
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10928/ccs	1104
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10938/ccs	741
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10963/ccs	920
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10987/ccs	1939
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10990/ccs	601
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11089/ccs	505
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11111/ccs	709
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11117/ccs	552
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11163/ccs	1169
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11172/ccs	1193
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11198/ccs	783
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11208/ccs	2182
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11215/ccs	533
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11277/ccs	1085
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11289/ccs	615
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11342/ccs	893
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11380/ccs	885
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11412/ccs	1293
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11425/ccs	743
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11431/ccs	759
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11465/ccs	341
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11572/ccs	533
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11619/ccs	1234
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11642/ccs	990
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11695/ccs	1953
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11734/ccs	2287
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/11753/ccs	718
